imdb_id,budget,revenue,original_title,director,genres,release_date,vote_count,vote_average,release_year
tt0369610,150000000,1513528810,Jurassic World,Colin Trevorrow,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2015-06-09,5562,6.5,2015
tt1392190,150000000,378436354,Mad Max: Fury Road,George Miller,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2015-05-13,6185,7.1,2015
tt2908446,110000000,295238201,Insurgent,Robert Schwentke,"['Adventure', 'Science Fiction', 'Thriller']",2015-03-18,2480,6.3,2015
tt2488496,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",2015-12-15,5292,7.5,2015
tt2820852,190000000,1506249360,Furious 7,James Wan,"['Action', 'Crime', 'Thriller']",2015-04-01,2947,7.3,2015
tt1663202,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,"['Western', 'Drama', 'Adventure', 'Thriller']",2015-12-25,3929,7.2,2015
tt1340138,155000000,440603537,Terminator Genisys,Alan Taylor,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",2015-06-23,2598,5.8,2015
tt3659388,108000000,595380321,The Martian,Ridley Scott,"['Drama', 'Adventure', 'Science Fiction']",2015-09-30,4572,7.6,2015
tt2293640,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,"['Family', 'Animation', 'Adventure', 'Comedy']",2015-06-17,2893,6.5,2015
tt2096673,175000000,853708609,Inside Out,Pete Docter,"['Comedy', 'Animation', 'Family']",2015-06-09,3935,8.0,2015
tt2379713,245000000,880674609,Spectre,Sam Mendes,"['Action', 'Adventure', 'Crime']",2015-10-26,3254,6.2,2015
tt1617661,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",2015-02-04,1937,5.2,2015
tt0470752,15000000,36869414,Ex Machina,Alex Garland,"['Drama', 'Science Fiction']",2015-01-21,2854,7.6,2015
tt2120120,88000000,243637091,Pixels,Chris Columbus,"['Action', 'Comedy', 'Science Fiction']",2015-07-16,1575,5.8,2015
tt2395427,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,"['Action', 'Adventure', 'Science Fiction']",2015-04-22,4304,7.4,2015
tt3460252,44000000,155760117,The Hateful Eight,Quentin Tarantino,"['Crime', 'Drama', 'Mystery', 'Western']",2015-12-25,2389,7.4,2015
tt2446042,48000000,325771424,Taken 3,Olivier Megaton,"['Crime', 'Action', 'Thriller']",2015-01-01,1578,6.1,2015
tt0478970,130000000,518602163,Ant-Man,Peyton Reed,"['Science Fiction', 'Action', 'Adventure']",2015-07-14,3779,7.0,2015
tt1661199,95000000,542351353,Cinderella,Kenneth Branagh,"['Romance', 'Fantasy', 'Family', 'Drama']",2015-03-12,1495,6.8,2015
tt1951266,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,"['War', 'Adventure', 'Science Fiction']",2015-11-18,2380,6.5,2015
tt1964418,190000000,209035668,Tomorrowland,Brad Bird,"['Action', 'Family', 'Science Fiction', 'Adventure', 'Mystery']",2015-05-19,1899,6.2,2015
tt1798684,30000000,91709827,Southpaw,Antoine Fuqua,"['Action', 'Drama']",2015-06-15,1386,7.3,2015
tt2126355,110000000,470490832,San Andreas,Brad Peyton,"['Action', 'Drama', 'Thriller']",2015-05-27,2060,6.1,2015
tt2322441,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,"['Drama', 'Romance']",2015-02-11,1865,5.3,2015
tt1596363,28000000,133346506,The Big Short,Adam McKay,"['Comedy', 'Drama']",2015-12-11,1545,7.3,2015
tt2381249,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,['Action'],2015-07-23,2349,7.1,2015
tt2637276,68000000,215863606,Ted 2,Seth MacFarlane,['Comedy'],2015-06-25,1666,6.3,2015
tt2802144,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,"['Crime', 'Comedy', 'Action', 'Adventure']",2015-01-24,3833,7.6,2015
tt1895587,20000000,88346473,Spotlight,Tom McCarthy,"['Drama', 'Thriller', 'History']",2015-11-06,1559,7.8,2015
tt4046784,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,"['Action', 'Science Fiction', 'Thriller']",2015-09-09,1849,6.4,2015
tt3168230,0,29355203,Mr. Holmes,Bill Condon,"['Mystery', 'Drama']",2015-06-19,425,6.4,2015
tt1823672,49000000,102069268,Chappie,Neill Blomkamp,"['Crime', 'Action', 'Science Fiction']",2015-03-04,1990,6.6,2015
tt2848292,29000000,287506194,Pitch Perfect 2,Elizabeth Banks,"['Comedy', 'Music']",2015-05-07,1264,6.8,2015
tt3682448,40000000,162610473,Bridge of Spies,Steven Spielberg,"['Thriller', 'Drama']",2015-10-15,1638,7.1,2015
tt1051904,58000000,150170815,Goosebumps,Rob Letterman,"['Adventure', 'Horror', 'Comedy']",2015-08-05,600,6.2,2015
tt3170832,6000000,35401758,Room,Lenny Abrahamson,"['Drama', 'Thriller']",2015-10-16,1520,8.0,2015
tt1291570,0,22354572,Solace,Afonso Poyart,"['Crime', 'Drama', 'Mystery']",2015-09-03,474,6.2,2015
tt1979388,175000000,331926147,The Good Dinosaur,Peter Sohn,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2015-11-14,1087,6.6,2015
tt2199571,50000000,71561644,Run All Night,Jaume Collet-Serra,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",2015-03-11,814,6.3,2015
tt2381111,11000000,62076141,Brooklyn,John Crowley,"['Drama', 'Romance']",2015-11-04,754,7.3,2015
tt1398426,28000000,201634991,Straight Outta Compton,F. Gary Gray,"['Drama', 'Music']",2015-08-13,918,7.7,2015
tt1618442,90000000,140396650,The Last Witch Hunter,Breck Eisner,"['Fantasy', 'Action', 'Adventure']",2015-10-21,879,5.6,2015
tt2080374,30000000,34441873,Steve Jobs,Danny Boyle,"['History', 'Drama']",2015-10-09,1035,6.9,2015
tt1638355,75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,"['Comedy', 'Action', 'Adventure']",2015-08-13,1548,7.0,2015
tt1655441,25000000,42629776,The Age of Adaline,Lee Toland Krieger,"['Fantasy', 'Drama', 'Romance']",2015-04-16,1221,7.3,2015
tt3072482,10000000,14333790,Hardcore Henry,Ilya Naishuller,"['Action', 'Adventure', 'Science Fiction']",2015-09-12,396,5.9,2015
tt2224026,135000000,368871007,Home,Tim Johnson,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",2015-03-18,1060,6.9,2015
tt3622592,12000000,85512300,Paper Towns,Jake Schreier,"['Drama', 'Mystery', 'Romance']",2015-07-09,1252,6.2,2015
tt2231253,30000000,0,Wild Card,Simon West,"['Thriller', 'Crime', 'Drama']",2015-01-14,481,5.3,2015
tt3464902,4000000,9064511,The Lobster,Yorgos Lanthimos,"['Thriller', 'Comedy', 'Drama', 'Romance', 'Science Fiction']",2015-10-08,638,6.6,2015
tt2402927,11800000,40272135,Carol,Todd Haynes,"['Romance', 'Drama']",2015-11-20,562,7.1,2015
tt2361509,35000000,194564672,The Intern,Nancy Meyers,['Comedy'],2015-09-24,1255,7.1,2015
tt2719848,55000000,203427584,Everest,Baltasar KormÃ¡kur,"['Adventure', 'Drama']",2015-09-10,1172,6.7,2015
tt2446980,60000000,101134059,Joy,David O. Russell,"['Comedy', 'Drama']",2015-12-24,1001,6.4,2015
tt2058673,105000000,133718711,Point Break,Ericson Core,"['Action', 'Crime', 'Thriller']",2015-12-03,505,5.5,2015
tt2503944,20000000,36606743,Burnt,John Wells,['Drama'],2015-10-02,631,6.3,2015
tt2140379,26000000,30523226,Self/less,Tarsem Singh,"['Science Fiction', 'Mystery', 'Thriller']",2015-07-10,719,6.2,2015
tt3045616,60000000,30418560,Mortdecai,David Koepp,"['Comedy', 'Adventure']",2015-01-21,696,5.3,2015
tt0810819,15000000,64191523,The Danish Girl,Tom Hooper,['Drama'],2015-11-27,867,7.3,2015
tt2717822,70000000,17752940,Blackhat,Michael Mann,"['Mystery', 'Crime', 'Action', 'Thriller', 'Drama']",2015-01-13,584,5.0,2015
tt3397884,30000000,84025816,Sicario,Denis Villeneuve,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",2015-09-17,1479,7.1,2015
tt1502712,120000001,167977596,Fantastic Four,Josh Trank,"['Action', 'Adventure', 'Science Fiction']",2015-08-05,1565,4.4,2015
tt4263482,3500000,40423945,The Witch,Robert Eggers,"['Mystery', 'Horror']",2015-03-24,700,5.8,2015
tt3079380,65000000,235666219,Spy,Paul Feig,"['Action', 'Comedy', 'Crime']",2015-05-06,1840,6.9,2015
tt2381941,50100000,153962963,Focus,Glenn Ficarra|John Requa,"['Romance', 'Comedy', 'Crime', 'Drama']",2015-02-25,1831,6.7,2015
tt2679042,35000000,82347656,Hitman: Agent 47,Aleksander Bach,"['Action', 'Crime', 'Thriller']",2015-08-20,820,5.5,2015
tt1390411,100000000,93820758,In the Heart of the Sea,Ron Howard,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",2015-11-20,805,6.4,2015
tt3247714,20000000,0,Survivor,James McTeigue,"['Crime', 'Thriller', 'Action']",2015-05-21,280,5.4,2015
tt3076658,35000000,137935567,Creed,Ryan Coogler,['Drama'],2015-11-25,1171,7.3,2015
tt3152624,35000000,140795793,Trainwreck,Judd Apatow,['Comedy'],2015-07-17,849,6.1,2015
tt2057392,13000000,32848185,Eye in the Sky,Gavin Hood,"['Drama', 'Thriller', 'War']",2015-09-11,265,7.2,2015
tt3569230,25000000,42972994,Legend,Brian Helgeland,"['Crime', 'Thriller']",2015-09-09,619,6.7,2015
tt2911668,0,45895,Beyond the Reach,Jean-Baptiste LÃ©onetti,['Thriller'],2015-04-17,81,5.5,2015
tt3332064,150000000,128388320,Pan,Joe Wright,"['Adventure', 'Family', 'Fantasy']",2015-09-24,586,5.9,2015
tt3478232,0,0,Mythica: The Darkspore,Anne K. Black,"['Action', 'Adventure', 'Fantasy']",2015-06-24,27,5.1,2015
tt2582496,0,0,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,"['Comedy', 'Drama']",2015-06-12,569,7.7,2015
tt2452042,99000000,246233113,The Peanuts Movie,Steve Martino,"['Adventure', 'Animation', 'Comedy', 'Family']",2015-11-05,414,6.4,2015
tt3322364,35000000,48623572,Concussion,Peter Landesman,['Drama'],2015-11-12,500,6.9,2015
tt3530002,25000000,52395996,The Night Before,Jonathan Levine,['Comedy'],2015-11-20,363,6.1,2015
tt3605418,2500000,5214043,Knock Knock,Eli Roth,"['Drama', 'Horror', 'Thriller']",2015-06-26,473,4.8,2015
tt2726560,34000000,63013281,The Longest Ride,"George Tillman, Jr.","['Romance', 'Drama']",2015-04-09,711,7.3,2015
tt2510894,80000000,466183544,Hotel Transylvania 2,Genndy Tartakovsky,"['Animation', 'Comedy', 'Family']",2015-09-21,919,6.8,2015
tt2279339,17000000,24000000,Love the Coopers,Jessie Nelson,"['Family', 'Comedy']",2015-11-12,111,5.3,2015
tt3488710,35000000,61181942,The Walk,Robert Zemeckis,"['Adventure', 'Drama', 'Thriller']",2015-09-30,706,6.8,2015
tt2401097,11000000,1863315,Tracers,Daniel Benmayor,"['Action', 'Crime', 'Drama']",2015-01-15,326,5.9,2015
tt1524930,31000000,104384188,Vacation,John Francis Daley|Jonathan M. Goldstein,"['Adventure', 'Comedy']",2015-07-28,846,6.1,2015
tt1029360,35000000,95437994,Poltergeist,Gil Kenan,"['Horror', 'Thriller']",2015-05-20,589,5.0,2015
tt1881002,4000000,187112,Maggie,Henry Hobson,['Horror'],2015-05-08,384,5.1,2015
tt3289728,0,2000000,Equals,Drake Doremus,"['Drama', 'Romance', 'Science Fiction']",2015-09-04,135,5.6,2015
tt1014763,50000000,3324330,Child 44,Daniel Espinosa,"['Crime', 'Thriller']",2015-03-15,341,5.9,2015
tt4178092,5000000,58978653,The Gift,Joel Edgerton,"['Thriller', 'Mystery']",2015-07-30,631,6.6,2015
tt1528854,50000000,240360392,Daddy's Home,Sean Anders,['Comedy'],2015-12-25,568,5.7,2015
tt3608646,0,0,Mythica: The Necromancer,A. Todd Smith,"['Fantasy', 'Action', 'Adventure']",2015-12-19,11,5.4,2015
tt3480796,10000000,0,Vice,Brian A Miller,"['Thriller', 'Science Fiction', 'Action', 'Adventure']",2015-01-16,181,4.1,2015
tt1754656,64000000,97571250,The Little Prince,Mark Osborne,"['Adventure', 'Animation', 'Fantasy']",2015-07-29,423,7.5,2015
tt2974918,0,233755553,Alvin and the Chipmunks: The Road Chip,Walt Becker,"['Adventure', 'Animation', 'Comedy', 'Family']",2015-12-17,278,5.7,2015
tt2910904,11930000,18340000,The Dressmaker,Jocelyn Moorhouse,['Drama'],2015-10-01,197,6.9,2015
tt1666801,8500000,43528634,The DUFF,Ari Sandel,"['Romance', 'Comedy']",2015-02-20,753,6.8,2015
tt2752772,10000000,52882018,Sinister 2,Ciaran Foy,['Horror'],2015-08-19,331,5.5,2015
tt3450650,30000000,107597242,Paul Blart: Mall Cop 2,Andy Fickman,"['Action', 'Adventure', 'Comedy', 'Family']",2015-04-16,422,5.3,2015
tt4007502,0,0,Frozen Fever,Chris Buck|Jennifer Lee,"['Adventure', 'Animation', 'Family']",2015-03-09,475,7.0,2015
tt0462335,0,0,High-Rise,Ben Wheatley,"['Action', 'Drama', 'Science Fiction']",2015-09-26,161,5.4,2015
tt3181822,4000000,50163103,The Boy Next Door,Rob Cohen,['Thriller'],2015-01-23,810,3.9,2015
